Attribute	Last	Minimum	Maximum	Average	σ
ActiveThreadCount	0.0 	0.0 	3.0 	2.214285714285715 	1.252262192023844 
Daemon Live Thread Count	150.0 	16.0 	153.0 	129.71428571428575 	40.5650410623603 
Peak Live Thread Count	155.0 	18.0 	155.0 	133.58064516129033 	39.441749617673224 
PoolSize	0.0 	0.0 	3.0 	2.6233766233766223 	0.9293888783997252 
QueuedSubmissionCount	0.0 	0.0 	120.0 	22.779220779220772 	29.658458162307046 
QueuedTaskCount	0.0 	0.0 	0.0 	0.0 	0.0 
RunningThreadCount	0.0 	0.0 	3.0 	1.1168831168831166 	1.0599546910285167 
StealCount	1250000.0 	0.0 	1250000.0 	564824.1363636364 	460347.66725878185 
Total Live Thread Count	152.0 	18.0 	155.0 	131.71428571428575 	40.565041062360294 

